Row No,CPU_Load,Memory_Load,Latency,ORA00600,ORA07445,ORA03113,ORA12154,RCA
1,0,0,0,0,1,0,1,Low Memory
2,0,0,0,0,0,0,1,Low Memory
3,0,1,1,0,0,1,1,Low Memory
4,0,1,0,1,1,0,1,Low Memory
5,1,1,0,1,0,1,0,Network Latency
6,0,0,1,1,0,0,0,Network Latency
7,1,0,0,1,1,0,0,Network Latency
8,0,0,0,1,1,0,1,Database Bug
9,0,1,0,0,1,0,1,Low Memory
10,0,0,0,1,1,0,1,Network Latency
11,1,0,0,0,0,0,1,Low Memory
12,1,0,1,0,0,0,0,Database Bug
13,0,1,0,0,0,1,1,Low Memory
14,0,1,1,0,0,1,0,Database Bug
15,1,0,1,0,1,0,0,Network Latency
16,1,0,0,0,1,0,1,Low Memory
17,0,1,0,0,0,1,1,Low Memory
18,0,1,0,1,0,0,1,Low Memory
19,0,1,1,0,0,1,0,Network Latency
20,0,1,0,0,0,0,0,Low Memory
21,0,1,1,1,1,0,0,Network Latency
22,1,0,0,0,0,0,0,Low Memory
23,1,1,0,0,1,0,1,Low Memory
24,0,1,1,0,0,0,1,Low Memory
25,0,0,1,1,1,0,0,Network Latency
26,0,1,0,0,0,1,1,Low Memory
27,0,1,0,0,0,0,1,Low Memory
28,0,0,1,0,0,1,0,Network Latency
29,0,0,1,1,0,1,0,Network Latency
30,0,0,0,0,0,0,1,Low Memory
31,1,1,0,0,0,0,0,Database Bug
32,1,1,1,0,0,1,1,Low Memory
33,1,1,0,0,0,1,1,Low Memory
34,1,1,1,1,0,0,0,Network Latency
35,0,0,0,0,0,0,1,Low Memory
36,1,0,0,1,1,1,1,Database Bug
37,0,1,1,0,0,0,1,Low Memory
38,1,0,1,0,0,1,0,Database Bug
39,1,0,0,1,1,1,0,Database Bug
40,0,0,1,1,1,0,0,Network Latency
41,1,0,0,0,1,0,1,Network Latency
42,1,0,1,0,0,1,0,Database Bug
43,0,0,0,0,0,1,0,Low Memory
44,1,0,0,0,1,1,0,Database Bug
45,0,1,1,1,1,0,0,Network Latency
46,0,0,1,0,0,0,0,Network Latency
47,0,1,0,1,1,0,0,Network Latency
48,1,1,1,1,1,1,0,Database Bug
49,0,0,1,0,0,0,0,Network Latency
50,1,0,0,0,0,1,0,Database Bug
51,0,0,0,0,0,0,1,Low Memory
52,1,0,0,1,1,1,1,Database Bug
53,1,0,0,0,0,1,0,Database Bug
54,1,0,0,0,1,1,1,Database Bug
55,0,0,1,1,1,0,0,Network Latency
56,0,1,0,1,0,1,0,Low Memory
57,0,0,1,0,1,0,1,Network Latency
58,0,1,1,1,0,0,1,Low Memory
59,1,0,0,0,0,1,0,Database Bug
60,1,0,0,0,1,1,0,Database Bug
61,0,0,1,1,1,0,0,Network Latency
62,1,1,0,0,0,1,1,Low Memory
63,1,0,0,0,0,1,0,Database Bug
64,0,1,0,0,0,1,1,Low Memory
65,0,1,1,1,0,1,1,Network Latency
66,0,0,0,0,0,0,1,Low Memory
67,1,1,0,1,0,1,0,Database Bug
68,1,0,0,0,0,1,1,Database Bug
69,0,1,0,0,0,1,1,Low Memory
70,0,0,1,1,0,0,0,Network Latency
71,1,1,0,1,1,0,1,Low Memory
72,1,1,1,0,0,1,0,Database Bug
73,0,1,0,0,0,0,1,Low Memory
74,1,1,0,0,1,0,1,Database Bug
75,0,0,1,1,1,0,0,Network Latency
76,0,1,0,0,0,0,1,Low Memory
77,1,1,1,1,0,0,0,Network Latency
78,1,0,1,1,1,0,0,Network Latency
79,1,0,1,1,1,0,0,Network Latency
80,0,0,1,1,0,0,0,Network Latency
81,1,0,1,1,1,0,0,Network Latency
82,1,1,0,1,0,1,1,Low Memory
83,0,0,1,1,1,0,0,Network Latency
84,0,1,1,0,1,0,1,Low Memory
85,1,0,0,1,0,0,0,Network Latency
86,0,0,1,0,0,1,0,Network Latency
87,1,1,0,0,0,1,0,Database Bug
88,0,1,0,1,1,0,1,Low Memory
89,0,1,1,0,1,1,1,Low Memory
90,1,0,0,0,0,1,0,Database Bug
91,0,1,0,0,1,0,1,Low Memory
92,0,0,0,0,1,0,0,Low Memory
93,0,1,1,0,1,0,1,Low Memory
94,0,1,0,0,0,0,0,Low Memory
95,0,1,0,0,1,0,1,Low Memory
96,0,0,1,1,1,0,0,Network Latency
97,1,0,0,0,0,0,0,Database Bug
98,0,0,0,0,0,0,0,Low Memory
99,1,1,0,1,0,1,1,Low Memory
100,1,1,0,0,1,1,0,Low Memory
101,0,1,0,0,0,0,1,Low Memory
102,0,1,0,1,0,1,1,Low Memory
103,0,0,0,0,0,0,0,Network Latency
104,1,0,0,0,1,1,0,Database Bug
105,0,0,0,1,0,0,1,Low Memory
106,0,0,1,1,1,0,0,Network Latency
107,0,0,1,1,0,0,0,Network Latency
108,1,1,0,0,0,1,0,Database Bug
109,1,0,0,0,0,1,0,Database Bug
110,1,1,1,0,1,0,1,Low Memory
111,0,0,1,1,0,1,0,Network Latency
112,0,0,1,1,0,0,0,Network Latency
113,0,1,0,0,1,0,0,Network Latency
114,1,1,0,0,1,1,0,Database Bug
115,1,1,1,0,0,1,0,Database Bug
116,1,0,0,0,1,1,0,Database Bug
117,0,1,0,0,0,0,0,Low Memory
118,0,0,0,0,1,0,1,Low Memory
119,0,1,0,1,1,0,1,Low Memory
120,0,0,1,1,1,1,1,Network Latency
121,0,1,0,1,0,1,0,Low Memory
122,1,1,0,0,1,0,0,Database Bug
123,1,0,1,0,0,1,0,Network Latency
124,1,0,0,0,1,1,0,Database Bug
125,1,0,0,0,0,1,0,Database Bug
126,0,0,1,1,1,0,0,Network Latency
127,0,1,1,0,1,0,0,Network Latency
128,0,0,0,0,1,0,0,Network Latency
129,0,1,0,0,0,0,0,Low Memory
130,1,0,0,0,0,1,0,Database Bug
131,0,0,1,1,1,0,0,Network Latency
132,1,0,0,0,0,0,0,Low Memory
133,1,0,1,0,0,1,0,Database Bug
134,1,0,0,0,1,0,0,Database Bug
135,0,0,0,0,1,0,1,Database Bug
136,1,1,0,0,1,1,1,Database Bug
137,1,0,0,0,1,0,0,Database Bug
138,0,0,1,1,0,1,1,Network Latency
139,0,1,1,0,1,0,1,Low Memory
140,0,1,0,1,1,0,0,Low Memory
141,0,0,1,1,1,1,0,Network Latency
142,0,1,0,1,1,1,0,Database Bug
143,0,1,1,0,0,1,0,Database Bug
144,1,1,1,0,1,0,1,Low Memory
145,1,0,0,0,1,1,1,Database Bug
146,0,0,1,1,0,0,0,Network Latency
147,1,1,0,1,0,0,1,Low Memory
148,0,0,1,1,1,0,0,Network Latency
149,1,0,1,0,0,1,0,Database Bug
150,0,0,1,1,0,0,0,Network Latency
151,0,0,1,1,0,1,0,Network Latency
152,0,1,0,0,0,1,1,Low Memory
153,1,1,1,1,0,1,1,Database Bug
154,0,0,1,0,0,0,1,Network Latency
155,0,0,0,1,1,1,0,Database Bug
156,0,0,0,0,0,1,0,Database Bug
157,1,0,0,1,1,1,0,Database Bug
158,0,0,0,1,0,0,1,Network Latency
159,0,1,1,0,1,0,0,Network Latency
160,0,1,0,0,1,0,1,Low Memory
161,0,0,1,1,0,1,0,Network Latency
162,0,0,1,1,0,0,0,Network Latency
163,1,0,1,1,1,0,1,Network Latency
164,0,0,0,0,1,1,0,Database Bug
165,1,0,1,1,1,0,0,Network Latency
166,0,0,0,1,1,0,1,Network Latency
167,0,1,0,0,0,0,1,Low Memory
168,1,0,0,0,0,1,0,Database Bug
169,0,1,0,0,0,0,1,Low Memory
170,0,1,0,0,0,0,0,Low Memory
171,1,1,1,1,0,1,0,Database Bug
172,0,1,1,0,1,1,1,Low Memory
173,0,1,0,1,0,0,0,Network Latency
174,0,1,1,1,0,0,1,Low Memory
175,0,1,1,0,0,0,1,Low Memory
176,1,0,0,0,0,0,0,Database Bug
177,0,1,1,1,0,0,1,Low Memory
178,0,1,0,0,1,1,0,Low Memory
179,1,1,0,0,0,0,1,Low Memory
180,0,0,0,0,1,1,0,Database Bug
181,0,0,1,0,0,0,0,Network Latency
182,0,1,1,0,0,1,1,Low Memory
183,1,1,0,0,1,1,0,Database Bug
184,1,0,0,0,1,1,0,Database Bug
185,1,0,0,0,1,1,1,Low Memory
186,1,0,0,0,1,1,0,Database Bug
187,0,1,1,0,0,1,0,Low Memory
188,0,0,1,1,0,0,0,Network Latency
189,0,0,1,1,1,1,0,Database Bug
190,0,1,0,0,0,0,1,Low Memory
191,1,1,0,0,1,0,1,Low Memory
192,1,1,0,0,0,0,1,Low Memory
193,0,0,1,1,1,0,1,Network Latency
194,1,0,1,0,1,0,1,Low Memory
195,1,0,1,1,1,0,0,Network Latency
196,1,0,0,1,1,1,1,Database Bug
197,1,0,0,0,1,0,0,Database Bug
198,1,1,0,0,1,0,0,Database Bug
199,1,1,0,0,1,1,1,Database Bug
200,0,0,0,1,0,0,0,Low Memory
201,1,0,0,1,1,1,0,Database Bug
202,0,0,0,1,1,0,0,Network Latency
203,1,1,0,0,0,0,0,Low Memory
204,0,1,0,0,1,0,1,Low Memory
205,1,1,0,0,1,1,0,Database Bug
206,1,0,0,0,0,0,0,Network Latency
207,1,0,0,1,1,1,0,Database Bug
208,1,0,0,0,0,0,1,Low Memory
209,1,0,0,0,1,1,0,Low Memory
210,0,1,0,0,1,1,0,Database Bug
211,1,0,0,0,1,1,1,Database Bug
212,0,1,0,0,1,1,0,Database Bug
213,0,0,1,1,1,1,1,Network Latency
214,1,0,1,0,1,1,0,Database Bug
215,1,0,0,0,1,1,0,Database Bug
216,1,0,0,0,0,1,0,Database Bug
217,1,1,1,0,0,0,1,Low Memory
218,0,0,1,1,1,0,0,Network Latency
219,1,0,0,0,0,1,0,Database Bug
220,1,0,0,0,1,0,0,Low Memory
221,1,0,0,0,1,1,0,Database Bug
222,1,0,0,1,1,1,0,Database Bug
223,0,0,1,0,1,0,1,Network Latency
224,0,1,0,0,0,0,1,Low Memory
225,0,0,0,1,0,0,1,Network Latency
226,0,0,1,1,0,1,0,Network Latency
227,0,0,0,0,1,1,0,Database Bug
228,1,1,0,0,1,0,1,Low Memory
229,1,0,0,1,0,1,0,Database Bug
230,0,0,1,1,0,0,0,Network Latency
231,0,1,1,1,1,1,0,Network Latency
232,0,0,1,0,1,0,0,Network Latency
233,1,0,0,0,0,0,0,Database Bug
234,1,0,0,0,1,0,0,Database Bug
235,0,0,1,1,0,0,0,Network Latency
236,0,0,0,0,1,0,0,Network Latency
237,0,1,1,1,0,1,1,Network Latency
238,1,1,0,0,1,0,1,Low Memory
239,1,1,1,1,1,0,1,Low Memory
240,1,1,0,0,1,1,1,Low Memory
241,1,0,1,1,0,0,0,Network Latency
242,1,1,0,1,0,1,1,Database Bug
243,0,0,1,1,1,0,0,Network Latency
244,1,0,0,1,1,0,1,Database Bug
245,0,0,1,1,1,0,1,Network Latency
246,1,0,0,0,0,1,0,Database Bug
247,0,0,1,1,0,0,0,Network Latency
248,0,1,0,0,0,0,0,Low Memory
249,1,0,0,0,0,1,1,Database Bug
250,0,1,0,0,0,0,1,Low Memory
251,0,0,1,1,0,0,1,Network Latency
252,0,1,0,0,0,1,0,Low Memory
253,0,1,0,0,0,0,1,Network Latency
254,0,0,1,0,0,0,0,Network Latency
255,1,1,0,0,0,1,1,Low Memory
256,0,1,1,1,1,0,0,Network Latency
257,1,0,0,1,1,1,1,Database Bug
258,1,1,1,1,0,0,0,Database Bug
259,1,0,1,1,0,0,0,Network Latency
260,0,0,1,0,1,0,0,Network Latency
261,1,1,0,0,1,0,0,Low Memory
262,1,0,0,0,0,0,1,Low Memory
263,1,0,0,0,0,0,0,Database Bug
264,0,0,0,0,1,0,0,Database Bug
265,1,1,1,0,0,1,0,Database Bug
266,1,1,0,0,1,0,0,Low Memory
267,1,0,0,0,1,0,0,Database Bug
268,1,1,1,1,1,1,0,Network Latency
269,0,0,1,1,0,0,1,Network Latency
270,0,0,0,0,0,0,0,Low Memory
271,1,0,0,0,1,1,0,Database Bug
272,0,0,0,1,0,1,0,Network Latency
273,0,0,1,0,0,1,0,Network Latency
274,1,1,0,0,1,0,1,Database Bug
275,1,0,0,0,1,0,0,Database Bug
276,1,1,1,0,0,1,1,Database Bug
277,0,0,1,1,0,1,0,Network Latency
278,1,0,0,1,1,1,1,Network Latency
279,1,0,0,0,1,0,0,Database Bug
280,0,1,1,1,0,1,1,Network Latency
281,1,1,0,0,1,1,1,Low Memory
282,0,0,1,0,1,1,0,Network Latency
283,0,0,0,0,0,1,0,Database Bug
284,1,0,0,1,1,1,0,Database Bug
285,0,0,1,1,0,1,1,Network Latency
286,1,1,0,0,0,0,0,Database Bug
287,0,0,1,1,0,0,0,Network Latency
288,0,0,1,1,1,1,0,Network Latency
289,1,1,1,1,1,0,0,Network Latency
290,1,1,0,1,0,1,0,Database Bug
291,1,1,0,1,1,1,0,Database Bug
292,1,0,0,1,1,1,0,Database Bug
293,0,0,0,0,0,0,1,Database Bug
294,1,1,0,0,1,0,1,Low Memory
295,0,1,1,0,1,0,0,Low Memory
296,0,0,0,0,0,0,1,Database Bug
297,0,0,0,1,0,0,0,Network Latency
298,1,1,1,0,0,0,0,Low Memory
299,0,1,1,1,1,0,0,Network Latency
300,1,0,0,0,1,1,0,Database Bug
301,0,0,0,0,1,0,1,Low Memory
302,0,0,0,0,0,0,1,Low Memory
303,0,1,1,0,0,1,1,Low Memory
304,0,1,0,1,1,0,1,Low Memory
305,1,1,0,1,0,1,0,Network Latency
306,0,0,1,1,0,0,0,Network Latency
307,1,0,0,1,1,0,0,Network Latency
308,0,0,0,1,1,0,1,Database Bug
309,0,1,0,0,1,0,1,Low Memory
310,0,0,0,1,1,0,1,Network Latency
311,1,0,0,0,0,0,1,Low Memory
312,1,0,1,0,0,0,0,Database Bug
313,0,1,0,0,0,1,1,Low Memory
314,0,1,1,0,0,1,0,Database Bug
315,1,0,1,0,1,0,0,Network Latency
316,1,0,0,0,1,0,1,Low Memory
317,0,1,0,0,0,1,1,Low Memory
318,0,1,0,1,0,0,1,Low Memory
319,0,1,1,0,0,1,0,Network Latency
320,0,1,0,0,0,0,0,Low Memory
321,0,1,1,1,1,0,0,Network Latency
322,1,0,0,0,0,0,0,Low Memory
323,1,1,0,0,1,0,1,Low Memory
324,0,1,1,0,0,0,1,Low Memory
325,0,0,1,1,1,0,0,Network Latency
326,0,1,0,0,0,1,1,Low Memory
327,0,1,0,0,0,0,1,Low Memory
328,0,0,1,0,0,1,0,Network Latency
329,0,0,1,1,0,1,0,Network Latency
330,0,0,0,0,0,0,1,Low Memory
331,1,1,0,0,0,0,0,Database Bug
332,1,1,1,0,0,1,1,Low Memory
333,1,1,0,0,0,1,1,Low Memory
334,1,1,1,1,0,0,0,Network Latency
335,0,0,0,0,0,0,1,Low Memory
336,1,0,0,1,1,1,1,Database Bug
337,0,1,1,0,0,0,1,Low Memory
338,1,0,1,0,0,1,0,Database Bug
339,1,0,0,1,1,1,0,Database Bug
340,0,0,1,1,1,0,0,Network Latency
341,1,0,0,0,1,0,1,Network Latency
342,1,0,1,0,0,1,0,Database Bug
343,0,0,0,0,0,1,0,Low Memory
344,1,0,0,0,1,1,0,Database Bug
345,0,1,1,1,1,0,0,Network Latency
346,0,0,1,0,0,0,0,Network Latency
347,0,1,0,1,1,0,0,Network Latency
348,1,1,1,1,1,1,0,Database Bug
349,0,0,1,0,0,0,0,Network Latency
350,1,0,0,0,0,1,0,Database Bug
351,0,0,0,0,0,0,1,Low Memory
352,1,0,0,1,1,1,1,Database Bug
353,1,0,0,0,0,1,0,Database Bug
354,1,0,0,0,1,1,1,Database Bug
355,0,0,1,1,1,0,0,Network Latency
356,0,1,0,1,0,1,0,Low Memory
357,0,0,1,0,1,0,1,Network Latency
358,0,1,1,1,0,0,1,Low Memory
359,1,0,0,0,0,1,0,Database Bug
360,1,0,0,0,1,1,0,Database Bug
361,0,0,1,1,1,0,0,Network Latency
362,1,1,0,0,0,1,1,Low Memory
363,1,0,0,0,0,1,0,Database Bug
364,0,1,0,0,0,1,1,Low Memory
365,0,1,1,1,0,1,1,Network Latency
366,0,0,0,0,0,0,1,Low Memory
367,1,1,0,1,0,1,0,Database Bug
368,1,0,0,0,0,1,1,Database Bug
369,0,1,0,0,0,1,1,Low Memory
370,0,0,1,1,0,0,0,Network Latency
371,1,1,0,1,1,0,1,Low Memory
372,1,1,1,0,0,1,0,Database Bug
373,0,1,0,0,0,0,1,Low Memory
374,1,1,0,0,1,0,1,Database Bug
375,0,0,1,1,1,0,0,Network Latency
376,0,1,0,0,0,0,1,Low Memory
377,1,1,1,1,0,0,0,Network Latency
378,1,0,1,1,1,0,0,Network Latency
379,1,0,1,1,1,0,0,Network Latency
380,0,0,1,1,0,0,0,Network Latency
381,1,0,1,1,1,0,0,Network Latency
382,1,1,0,1,0,1,1,Low Memory
383,0,0,1,1,1,0,0,Network Latency
384,0,1,1,0,1,0,1,Low Memory
385,1,0,0,1,0,0,0,Network Latency
386,0,0,1,0,0,1,0,Network Latency
387,1,1,0,0,0,1,0,Database Bug
388,0,1,0,1,1,0,1,Low Memory
389,0,1,1,0,1,1,1,Low Memory
390,1,0,0,0,0,1,0,Database Bug
391,0,1,0,0,1,0,1,Low Memory
392,0,0,0,0,1,0,0,Low Memory
393,0,1,1,0,1,0,1,Low Memory
394,0,1,0,0,0,0,0,Low Memory
395,0,1,0,0,1,0,1,Low Memory
396,0,0,1,1,1,0,0,Network Latency
397,1,0,0,0,0,0,0,Database Bug
398,0,0,0,0,0,0,0,Low Memory
399,1,1,0,1,0,1,1,Low Memory
400,1,1,0,0,1,1,0,Low Memory
401,0,1,0,0,0,0,1,Low Memory
402,0,1,0,1,0,1,1,Low Memory
403,0,0,0,0,0,0,0,Network Latency
404,1,0,0,0,1,1,0,Database Bug
405,0,0,0,1,0,0,1,Low Memory
406,0,0,1,1,1,0,0,Network Latency
407,0,0,1,1,0,0,0,Network Latency
408,1,1,0,0,0,1,0,Database Bug
409,1,0,0,0,0,1,0,Database Bug
410,1,1,1,0,1,0,1,Low Memory
411,0,0,1,1,0,1,0,Network Latency
412,0,0,1,1,0,0,0,Network Latency
413,0,1,0,0,1,0,0,Network Latency
414,1,1,0,0,1,1,0,Database Bug
415,1,1,1,0,0,1,0,Database Bug
416,1,0,0,0,1,1,0,Database Bug
417,0,1,0,0,0,0,0,Low Memory
418,0,0,0,0,1,0,1,Low Memory
419,0,1,0,1,1,0,1,Low Memory
420,0,0,1,1,1,1,1,Network Latency
421,0,1,0,1,0,1,0,Low Memory
422,1,1,0,0,1,0,0,Database Bug
423,1,0,1,0,0,1,0,Network Latency
424,1,0,0,0,1,1,0,Database Bug
425,1,0,0,0,0,1,0,Database Bug
426,0,0,1,1,1,0,0,Network Latency
427,0,1,1,0,1,0,0,Network Latency
428,0,0,0,0,1,0,0,Network Latency
429,0,1,0,0,0,0,0,Low Memory
430,1,0,0,0,0,1,0,Database Bug
431,0,0,1,1,1,0,0,Network Latency
432,1,0,0,0,0,0,0,Low Memory
433,1,0,1,0,0,1,0,Database Bug
434,1,0,0,0,1,0,0,Database Bug
435,0,0,0,0,1,0,1,Database Bug
436,1,1,0,0,1,1,1,Database Bug
437,1,0,0,0,1,0,0,Database Bug
438,0,0,1,1,0,1,1,Network Latency
439,0,1,1,0,1,0,1,Low Memory
440,0,1,0,1,1,0,0,Low Memory
441,0,0,1,1,1,1,0,Network Latency
442,0,1,0,1,1,1,0,Database Bug
443,0,1,1,0,0,1,0,Database Bug
444,1,1,1,0,1,0,1,Low Memory
445,1,0,0,0,1,1,1,Database Bug
446,0,0,1,1,0,0,0,Network Latency
447,1,1,0,1,0,0,1,Low Memory
448,0,0,1,1,1,0,0,Network Latency
449,1,0,1,0,0,1,0,Database Bug
450,0,0,1,1,0,0,0,Network Latency
451,0,0,1,1,0,1,0,Network Latency
452,0,1,0,0,0,1,1,Low Memory
453,1,1,1,1,0,1,1,Database Bug
454,0,0,1,0,0,0,1,Network Latency
455,0,0,0,1,1,1,0,Database Bug
456,0,0,0,0,0,1,0,Database Bug
457,1,0,0,1,1,1,0,Database Bug
458,0,0,0,1,0,0,1,Network Latency
459,0,1,1,0,1,0,0,Network Latency
460,0,1,0,0,1,0,1,Low Memory
461,0,0,1,1,0,1,0,Network Latency
462,0,0,1,1,0,0,0,Network Latency
463,1,0,1,1,1,0,1,Network Latency
464,0,0,0,0,1,1,0,Database Bug
465,1,0,1,1,1,0,0,Network Latency
466,0,0,0,1,1,0,1,Network Latency
467,0,1,0,0,0,0,1,Low Memory
468,1,0,0,0,0,1,0,Database Bug
469,0,1,0,0,0,0,1,Low Memory
470,0,1,0,0,0,0,0,Low Memory
471,1,1,1,1,0,1,0,Database Bug
472,0,1,1,0,1,1,1,Low Memory
473,0,1,0,1,0,0,0,Network Latency
474,0,1,1,1,0,0,1,Low Memory
475,0,1,1,0,0,0,1,Low Memory
476,1,0,0,0,0,0,0,Database Bug
477,0,1,1,1,0,0,1,Low Memory
478,0,1,0,0,1,1,0,Low Memory
479,1,1,0,0,0,0,1,Low Memory
480,0,0,0,0,1,1,0,Database Bug
481,0,0,1,0,0,0,0,Network Latency
482,0,1,1,0,0,1,1,Low Memory
483,1,1,0,0,1,1,0,Database Bug
484,1,0,0,0,1,1,0,Database Bug
485,1,0,0,0,1,1,1,Low Memory
486,1,0,0,0,1,1,0,Database Bug
487,0,1,1,0,0,1,0,Low Memory
488,0,0,1,1,0,0,0,Network Latency
489,0,0,1,1,1,1,0,Database Bug
490,0,1,0,0,0,0,1,Low Memory
491,1,1,0,0,1,0,1,Low Memory
492,1,1,0,0,0,0,1,Low Memory
493,0,0,1,1,1,0,1,Network Latency
494,1,0,1,0,1,0,1,Low Memory
495,1,0,1,1,1,0,0,Network Latency
496,1,0,0,1,1,1,1,Database Bug
497,1,0,0,0,1,0,0,Database Bug
498,1,1,0,0,1,0,0,Database Bug
499,1,1,0,0,1,1,1,Database Bug
500,0,0,0,1,0,0,0,Low Memory
501,1,0,0,1,1,1,0,Database Bug
